  -1.72831667   3.29261667 -167.56387516 
  -1.72831667   3.39630833 -167.56377168 
  -1.72831667   3.50000000 -167.56368533 
  -1.83253333   1.01140000 -167.71848065 
  -1.83253333   1.11509167 -167.78733526 
  -1.83253333   1.21878333 -167.79304049 
  -1.83253333   1.32247500 -167.76603917 
  -1.83253333   1.42616667 -167.72410008 
  -1.83253333   1.52985833 -167.67773796 
  -1.83253333   1.63355000 -167.63689462 
  -1.83253333   1.73724167 -167.60614296 
  -1.83253333   1.84093333 -167.58440074 
  -1.83253333   1.94462500 -167.56983195 
  -1.83253333   2.04831667 -167.56044347 
  -1.83253333   2.15200833 -167.55450282 
  -1.83253333   2.25570000 -167.55078886 
  -1.83253333   2.35939167 -167.54847594 
  -1.83253333   2.46308333 -167.54700482 
  -1.83253333   2.56677500 -167.54606609 
  -1.83253333   2.67046667 -167.54543281 
  -1.83253333   2.77415833 -167.54498551 
  -1.83253333   2.87785000 -167.54467238 
  -1.83253333   2.98154167 -167.54443812 
  -1.83253333   3.08523333 -167.54424818 
  -1.83253333   3.18892500 -167.54412885 
  -1.83253333   3.29261667 -167.54401168 
  -1.83253333   3.39630833 -167.54391515 
  -1.83253333   3.50000000 -167.54384065 
  -1.93675000   1.01140000 -167.70942971 
  -1.93675000   1.11509167 -167.77691401 
  -1.93675000   1.21878333 -167.78160239 
  -1.93675000   1.32247500 -167.75412274 
  -1.93675000   1.42616667 -167.71187462 
  -1.93675000   1.52985833 -167.66540272 
  -1.93675000   1.63355000 -167.62493971 
  -1.93675000   1.73724167 -167.59423061 
  -1.93675000   1.84093333 -167.57227151 
  -1.93675000   1.94462500 -167.55729441 
  -1.93675000   2.04831667 -167.54752061 
  -1.93675000   2.15200833 -167.54130831 
  -1.93675000   2.25570000 -167.53746257 
  -1.93675000   2.35939167 -167.53506389 
  -1.93675000   2.46308333 -167.53355576 
  -1.93675000   2.56677500 -167.53258908 
  -1.93675000   2.67046667 -167.53193897 
  -1.93675000   2.77415833 -167.53147775 
  -1.93675000   2.87785000 -167.53116365 
  -1.93675000   2.98154167 -167.53093102 
  -1.93675000   3.08523333 -167.53074620 
  -1.93675000   3.18892500 -167.53059506 
  -1.93675000   3.29261667 -167.53049989 
  -1.93675000   3.39630833 -167.53041764 
  -1.93675000   3.50000000 -167.53034538 
  -2.04096667   1.01140000 -167.70935716 
  -2.04096667   1.11509167 -167.77413554 
  -2.04096667   1.21878333 -167.77692410 
  -2.04096667   1.32247500 -167.74824091 
  -2.04096667   1.42616667 -167.70529136 
  -2.04096667   1.52985833 -167.65843361 
  -2.04096667   1.63355000 -167.61796894 
  -2.04096667   1.73724167 -167.58721089 
  -2.04096667   1.84093333 -167.56491524 
  -2.04096667   1.94462500 -167.54953402 
  -2.04096667   2.04831667 -167.53942688 
  -2.04096667   2.15200833 -167.53297279 
  -2.04096667   2.25570000 -167.52895258 
  -2.04096667   2.35939167 -167.52645279 
  -2.04096667   2.46308333 -167.52487617 
  -2.04096667   2.56677500 -167.52388367 
  -2.04096667   2.67046667 -167.52321629 
  -2.04096667   2.77415833 -167.52271848 
  -2.04096667   2.87785000 -167.52239262 
  -2.04096667   2.98154167 -167.52215433 
  -2.04096667   3.08523333 -167.52196759 
  -2.04096667   3.18892500 -167.52181297 
  -2.04096667   3.29261667 -167.52170727 
  -2.04096667   3.39630833 -167.52162567 
  -2.04096667   3.50000000 -167.52155660 
  -2.14518333   1.01140000 -167.71123883 
  -2.14518333   1.11509167 -167.77438136 
  -2.14518333   1.21878333 -167.77558299 
  -2.14518333   1.32247500 -167.74567731 
  -2.14518333   1.42616667 -167.70187778 
  -2.14518333   1.52985833 -167.65439932 
  -2.14518333   1.63355000 -167.61388527 
  -2.14518333   1.73724167 -167.58300133 
  -2.14518333   1.84093333 -167.56044212 
  -2.14518333   1.94462500 -167.54472848 
  -2.14518333   2.04831667 -167.53433537 
  -2.14518333   2.15200833 -167.52767831 
  -2.14518333   2.25570000 -167.52351376 
  -2.14518333   2.35939167 -167.52091805 
  -2.14518333   2.46308333 -167.51927769 
  -2.14518333   2.56677500 -167.51823547 
  -2.14518333   2.67046667 -167.51754013 
  -2.14518333   2.77415833 -167.51703581 
  -2.14518333   2.87785000 -167.51668852 
  -2.14518333   2.98154167 -167.51644062 
  -2.14518333   3.08523333 -167.51624783 
  -2.14518333   3.18892500 -167.51608770 
  -2.14518333   3.29261667 -167.51596884 
  -2.14518333   3.39630833 -167.51588462 
  -2.14518333   3.50000000 -167.51581577 
  -2.24940000   1.01140000 -167.71293421 
  -2.24940000   1.11509167 -167.77520008 
  -2.24940000   1.21878333 -167.77539738 
  -2.24940000   1.32247500 -167.74456130 
  -2.24940000   1.42616667 -167.70006279 
  -2.24940000   1.52985833 -167.65205574 
  -2.24940000   1.63355000 -167.61142472 
  -2.24940000   1.73724167 -167.58039204 
  -2.24940000   1.84093333 -167.55762545 
  -2.24940000   1.94462500 -167.54166277 
  -2.24940000   2.04831667 -167.53105636 
  -2.24940000   2.15200833 -167.52423339 
  -2.24940000   2.25570000 -167.51995194 
  -2.24940000   2.35939167 -167.51728035 
  -2.24940000   2.46308333 -167.51558856 
  -2.24940000   2.56677500 -167.51450036 
  -2.24940000   2.67046667 -167.51377628 
  -2.24940000   2.77415833 -167.51325582 
  -2.24940000   2.87785000 -167.51289665 
  -2.24940000   2.98154167 -167.51263844 
  -2.24940000   3.08523333 -167.51243398 
  -2.24940000   3.18892500 -167.51226624 
  -2.24940000   3.29261667 -167.51213656 
  -2.24940000   3.39630833 -167.51204733 
  -2.24940000   3.50000000 -167.51197546 
  -2.35361667   1.01140000 -167.71414038 
  -2.35361667   1.11509167 -167.77590023 
  -2.35361667   1.21878333 -167.77552542 
  -2.35361667   1.32247500 -167.74403252 
  -2.35361667   1.42616667 -167.69902776 
  -2.35361667   1.52985833 -167.65055700 
  -2.35361667   1.63355000 -167.63267376 
  -2.35361667   1.73724167 -167.60140535 
  -2.35361667   1.84093333 -167.57657527 
  -2.35361667   1.94462500 -167.55720660 
  -2.35361667   2.04831667 -167.54295725 
  -2.35361667   2.15200833 -167.53302887 
  -2.35361667   2.25570000 -167.52632291 
  -2.35361667   2.35939167 -167.52178050 
  -2.35361667   2.46308333 -167.51865330 
  -2.35361667   2.56677500 -167.51644621 
  -2.35361667   2.67046667 -167.51484354 
  -2.35361667   2.77415833 -167.51364791 
  -2.35361667   2.87785000 -167.51273465 
  -2.35361667   2.98154167 -167.51202949 
  -2.35361667   3.08523333 -167.51147111 
  -2.35361667   3.18892500 -167.51100880 
  -2.35361667   3.29261667 -167.51063236 
  -2.35361667   3.39630833 -167.51034217 
  -2.35361667   3.50000000 -167.51012182 
  -2.45783333   1.01140000 -167.71490397 
  -2.45783333   1.11509167 -167.77638487 
  -2.45783333   1.21878333 -167.77563541 
  -2.45783333   1.32247500 -167.74375145 
  -2.45783333   1.42616667 -167.69838092 
  -2.45783333   1.52985833 -167.64897551 
  -2.45783333   1.63355000 -167.63370833 
